start,end,no_model,cond,B_X_n,B_Lag_1,Beta_X_n,Beta_Lag_1,R2,series_code,series_name,variant,window,lags
130,154,False,44.06856085363612,0.008059904805696598,-0.015715661190069233,3.851531564596546,-7.513172628861762,0.9602934250828594,25,Производство готовых металличес,adj_smoothed,24,3
131,155,False,43.2715485113981,0.007918735788706908,-0.015502556684677876,3.942198056560321,-7.863702100325842,0.9574131737394737,25,Производство готовых металличес,adj_smoothed,24,3
132,156,False,43.83699345527265,0.007652399427309048,-0.015079917382926905,3.625028881797033,-7.640714172912119,0.9649401581614142,25,Производство готовых металличес,adj_smoothed,24,3
0,24,False,4.607630262388612,-0.0018062936705653904,6.793475865159572e-05,-0.25626308895281164,0.009709096500341824,0.13764793185061563,25,Производство готовых металличес,adj_unsmoothed,24,3
1,25,False,4.609770785434234,-0.001830754359624843,-0.0004275733740911648,-0.2498238795434654,-0.05921542078234965,0.13441152760055852,25,Производство готовых металличес,adj_unsmoothed,24,3
2,26,False,4.616609330185241,-0.0022565776373251033,-0.00019069762397163188,-0.30369832883034126,-0.025799217359639935,0.14238626776937202,25,Производство готовых металличес,adj_unsmoothed,24,3
3,27,False,4.435896394231338,-0.0029036655868848746,0.000816577082497202,-0.3792047437923215,0.10871670021720883,0.17533703504146803,25,Производство готовых металличес,adj_unsmoothed,24,3
4,28,False,4.1443711313999385,-0.0034252924002827413,0.0012355708199656996,-0.4225466231140767,0.158491152503205,0.1991181652531806,25,Производство готовых металличес,adj_unsmoothed,24,3
5,29,False,3.869925038233663,-0.003529508689249821,0.0016009816326721079,-0.41682237227001856,0.19784964901570268,0.18891263457649832,25,Производство готовых металличес,adj_unsmoothed,24,3
6,30,False,3.5653991132496756,-0.00304865299724708,0.00010509777347421636,-0.40784375897673686,0.014264517952740537,0.40558657533548115,25,Производство готовых металличес,adj_unsmoothed,24,3
7,31,False,3.8876963613585422,-0.005532459661881352,0.0017248938153977043,-0.5981191804539975,0.23331504433779288,0.42534218155660675,25,Производство готовых металличес,adj_unsmoothed,24,3
8,32,False,3.681273264204176,-0.005054573944832719,0.00015146678650986966,-0.43988227054222095,0.01576565574605511,0.36611794629457006,25,Производство готовых металличес,adj_unsmoothed,24,3
9,33,False,3.1920011578988254,0.004735964784335969,-0.0022584184316225874,0.24469136390565588,-0.11929903181368494,0.0790611692715446,25,Производство готовых металличес,adj_unsmoothed,24,3
10,34,False,2.6478921665577255,-0.006074839988729892,0.003141192978927363,-0.5755214961158053,0.12993307591311465,0.2837310451661311,25,Производство готовых металличес,adj_unsmoothed,24,3
11,35,False,2.4396553127516682,-0.005458842635189327,-0.0004053498065892906,-0.5048496656566757,-0.03833401654673395,0.2828270290395942,25,Производство готовых металличес,adj_unsmoothed,24,3
12,36,False,2.067682957959055,-0.0056896304301027704,-0.0007114588885260306,-0.5190148816886684,-0.06566261568609094,0.3216980090188254,25,Производство готовых металличес,adj_unsmoothed,24,3
13,37,False,1.3981813039827,-0.005723124972386459,-0.0006211195410453919,-0.5162008048021753,-0.05643478176103657,0.31128616950746646,25,Производство готовых металличес,adj_unsmoothed,24,3
14,38,False,1.354785785150882,-0.005930885730340039,-0.000632208791343392,-0.5273741364668363,-0.05667818447141064,0.31729998644683977,25,Производство готовых металличес,adj_unsmoothed,24,3
15,39,False,1.3322588285182901,-0.005954575902261132,-0.000672117724244658,-0.5271277332104461,-0.05985366409659167,0.3156221557167467,25,Производство готовых металличес,adj_unsmoothed,24,3
16,40,False,1.318932048225101,-0.005981646917126027,-0.0006748637039566579,-0.5267560401932726,-0.059515326893454436,0.3159982615940502,25,Производство готовых металличес,adj_unsmoothed,24,3
17,41,False,1.314126241789758,-0.006657437671929743,-0.0008193538929754503,-0.5777752192415544,-0.07083874793110431,0.3841169210591383,25,Производство готовых металличес,adj_unsmoothed,24,3
18,42,False,1.3337107611876957,-0.006484531811410343,-0.0010342671170675702,-0.553647864400457,-0.09100975364478721,0.3534256887369156,25,Производство готовых металличес,adj_unsmoothed,24,3
19,43,False,1.3556337453120169,-0.006452086548727592,-0.0010597066133908497,-0.5620149252634637,-0.09048917485711706,0.35305378111507923,25,Производство готовых металличес,adj_unsmoothed,24,3
20,44,False,1.3756171988874561,-0.0064666895357161445,-0.0010859451897168922,-0.5646968557177918,-0.09391577301928741,0.3630735423629796,25,Производство готовых металличес,adj_unsmoothed,24,3
21,45,False,1.3602226346943815,-0.006555153217692764,-0.0012934214795381834,-0.5628350801781231,-0.11123836606564602,0.3740891880740135,25,Производство готовых металличес,adj_unsmoothed,24,3
22,46,False,1.4189696038145299,-0.006797026555121214,-0.001241592570948407,-0.5805560351778571,-0.10403149596035483,0.3830102319851453,25,Производство готовых металличес,adj_unsmoothed,24,3
23,47,False,1.409456395749845,-0.006897478086663977,-0.0010565820068936997,-0.5887084081315475,-0.09014086993081058,0.38072519638229085,25,Производство готовых металличес,adj_unsmoothed,24,3
24,48,False,1.404408493657521,-0.006737034818385896,-0.0011648835491471384,-0.57610208109742,-0.09968903289722132,0.36515499594631173,25,Производство готовых металличес,adj_unsmoothed,24,3
25,49,False,1.3661277639393443,-0.007091390650374488,-0.001576607204676138,-0.5892461621344476,-0.13047441056635056,0.3771852088305969,25,Производство готовых металличес,adj_unsmoothed,24,3
26,50,False,1.3581878201960038,-0.006686180162367102,-0.0017691913707295669,-0.5650831411004881,-0.1465967331660799,0.3583841543286581,25,Производство готовых металличес,adj_unsmoothed,24,3
27,51,False,1.4331136107516784,-0.006139600151510189,-0.001435250090372494,-0.5462326352675455,-0.12129980538275889,0.3295294963126312,25,Производство готовых металличес,adj_unsmoothed,24,3
28,52,False,1.4989610652541028,-0.005018667458227305,-0.0005249322300772816,-0.47225102220617393,-0.04680739451445981,0.23167373088420395,25,Производство готовых металличес,adj_unsmoothed,24,3
29,53,False,1.5795181413337689,-0.004242692964195452,0.0005569034236484794,-0.5542653552667455,0.06629053905619739,0.2977860468490715,25,Производство готовых металличес,adj_unsmoothed,24,3
30,54,False,2.0281711360804064,-0.0015674223314469707,-0.0009377642197236041,-0.2229343713366455,-0.15200910764541453,0.1855566154564916,25,Производство готовых металличес,adj_unsmoothed,24,3
31,55,False,3.4417685796834547,-0.0020067357520996846,-0.000324563293620908,-0.2816171477920238,-0.04584228000145878,0.19956741312766668,25,Производство готовых металличес,adj_unsmoothed,24,3
