model,case,regime,window,lags,period,rho,windows,false_lag_rate,hit_rate,no_model_share,mean_false_lag_count,mean_selected_count,mean_b_sum,std_b_sum,mean_R2_enter,rho_band
mixed,mixed_q_2_8_gamma_neg_0_2,цикл с отрицательной памятью,15,5,2,7.5,165,0.0,0.0030303030303030303,0.9939393939393939,0.0,0.006060606060606061,-0.04192770651839601,0.3248232946171115,0.7167909081642553,rho>=2
mixed,mixed_q_2_8_gamma_neg_0_2,цикл с отрицательной памятью,20,5,2,10.0,160,0.0,0.003125,0.99375,0.0,0.00625,-0.0021433228918414223,0.08825845852219066,0.4243672264495167,rho>=2
mixed,mixed_q_2_8_gamma_neg_0_2,цикл с отрицательной памятью,25,5,2,12.5,155,0.0,0.0032258064516129032,0.9935483870967742,0.0,0.0064516129032258064,0.004438306089185743,0.05468463023704242,0.3856457516870588,rho>=2
mixed,mixed_q_2_8_gamma_neg_0_2,цикл с отрицательной памятью,30,5,2,15.0,150,0.0022222222222222222,0.006666666666666667,0.9933333333333333,0.006666666666666667,0.02,0.006887540946846428,0.052195962913538375,0.37555916906393616,rho>=2
mixed,mixed_q_2_8_gamma_neg_0_2,цикл с отрицательной памятью,40,5,2,20.0,140,0.0,0.007142857142857143,0.9928571428571429,0.0,0.014285714285714285,0.00935851837876033,0.05586244087437259,0.36939919577745456,rho>=2
mixed,mixed_q_2_8_gamma_neg_0_2,цикл с отрицательной памятью,50,5,2,25.0,130,0.0038461538461538464,0.007692307692307693,0.9923076923076923,0.015384615384615385,0.03076923076923077,0.010994093926065167,0.059990578868655976,0.367502453456821,rho>=2
mixed,mixed_q_2_8_gamma_neg_0_2,цикл с отрицательной памятью,20,10,2,10.0,160,0.0,0.003125,0.99375,0.0,0.00625,0.0009837074723286318,0.012443024655542147,1.0,rho>=2
mixed,mixed_q_2_8_gamma_neg_0_2,цикл с отрицательной памятью,25,10,2,12.5,155,0.0,0.0032258064516129032,0.9935483870967742,0.0,0.0064516129032258064,1.7249594215439679e-18,2.1475571608827125e-17,1.0,rho>=2
mixed,mixed_q_2_8_gamma_neg_0_2,цикл с отрицательной памятью,30,10,2,15.0,150,0.0033333333333333335,0.0033333333333333335,0.9933333333333333,0.006666666666666667,0.013333333333333334,-3.849088935139605e-19,4.714151932842343e-18,1.0,rho>=2
mixed,mixed_q_2_8_gamma_neg_0_2,цикл с отрицательной памятью,40,10,2,20.0,140,0.0035714285714285713,0.0035714285714285713,0.9928571428571429,0.007142857142857143,0.014285714285714285,6.790864124307993e-19,8.035058791119e-18,1.0,rho>=2
mixed,mixed_q_2_8_gamma_neg_0_2,цикл с отрицательной памятью,50,10,2,25.0,130,0.0,0.007692307692307693,0.9923076923076923,0.0,0.015384615384615385,-2.8822510043370634e-18,3.286271764112428e-17,1.0,rho>=2
