model,case,regime,segment,method,observation,degenerate_truth_share,degenerate_recall,degenerate_precision,informative_specificity,informative_retention,family_accuracy
mixed,mixed_q_2_8_gamma_0_1,слабая память,late,direct,noisy,0.0,,0.0,0.6949152542372882,0.6949152542372882,
mixed,mixed_q_2_8_gamma_0_1,слабая память,middle,direct,noisy,0.0,,0.0,0.6440677966101694,0.6440677966101694,
mixed,mixed_q_2_8_gamma_0_1,слабая память,early,regression,noisy,0.0,,,1.0,1.0,
mixed,mixed_q_2_8_gamma_0_1,слабая память,late,regression,noisy,0.0,,,1.0,1.0,
mixed,mixed_q_2_8_gamma_0_1,слабая память,middle,regression,noisy,0.0,,,1.0,1.0,
mixed,mixed_q_1_5_gamma_neg_0_2,"отрицательная память, умеренная",early,direct,clean,0.0,,,1.0,1.0,1.0
mixed,mixed_q_1_5_gamma_neg_0_2,"отрицательная память, умеренная",late,direct,clean,0.0,,0.0,0.0,0.0,0.0
mixed,mixed_q_1_5_gamma_neg_0_2,"отрицательная память, умеренная",middle,direct,clean,0.0,,0.0,0.2711864406779661,0.2711864406779661,0.2711864406779661
mixed,mixed_q_1_5_gamma_neg_0_2,"отрицательная память, умеренная",early,regression,clean,0.0,,,1.0,1.0,1.0
mixed,mixed_q_1_5_gamma_neg_0_2,"отрицательная память, умеренная",late,regression,clean,0.0,,,1.0,1.0,1.0
mixed,mixed_q_1_5_gamma_neg_0_2,"отрицательная память, умеренная",middle,regression,clean,0.0,,,1.0,1.0,0.5254237288135594
mixed,mixed_q_1_5_gamma_neg_0_2,"отрицательная память, умеренная",early,direct,noisy,0.0,,0.0,0.8103448275862069,0.8103448275862069,
mixed,mixed_q_1_5_gamma_neg_0_2,"отрицательная память, умеренная",late,direct,noisy,0.0,,0.0,0.6271186440677966,0.6271186440677966,
mixed,mixed_q_1_5_gamma_neg_0_2,"отрицательная память, умеренная",middle,direct,noisy,0.0,,0.0,0.6949152542372882,0.6949152542372882,
mixed,mixed_q_1_5_gamma_neg_0_2,"отрицательная память, умеренная",early,regression,noisy,0.0,,,1.0,1.0,
mixed,mixed_q_1_5_gamma_neg_0_2,"отрицательная память, умеренная",late,regression,noisy,0.0,,,1.0,1.0,
mixed,mixed_q_1_5_gamma_neg_0_2,"отрицательная память, умеренная",middle,regression,noisy,0.0,,,1.0,1.0,
mixed,mixed_q_1_5_gamma_neg_0_5,"отрицательная память, сильная",early,direct,clean,0.6896551724137931,1.0,0.9302325581395349,0.8333333333333334,0.8333333333333334,0.25862068965517243
mixed,mixed_q_1_5_gamma_neg_0_5,"отрицательная память, сильная",late,direct,clean,1.0,1.0,1.0,,0.0,0.0
mixed,mixed_q_1_5_gamma_neg_0_5,"отрицательная память, сильная",middle,direct,clean,1.0,1.0,1.0,,0.0,0.0
mixed,mixed_q_1_5_gamma_neg_0_5,"отрицательная память, сильная",early,regression,clean,0.625,1.0,0.9090909090909091,0.8333333333333334,0.8333333333333334,0.3125
mixed,mixed_q_1_5_gamma_neg_0_5,"отрицательная память, сильная",late,regression,clean,1.0,1.0,1.0,,0.0,0.0
mixed,mixed_q_1_5_gamma_neg_0_5,"отрицательная память, сильная",middle,regression,clean,1.0,1.0,1.0,,0.0,0.0
mixed,mixed_q_1_5_gamma_neg_0_5,"отрицательная память, сильная",early,direct,noisy,0.6896551724137931,1.0,0.8888888888888888,0.7222222222222222,0.7222222222222222,
mixed,mixed_q_1_5_gamma_neg_0_5,"отрицательная память, сильная",late,direct,noisy,1.0,1.0,1.0,,0.0,
mixed,mixed_q_1_5_gamma_neg_0_5,"отрицательная память, сильная",middle,direct,noisy,1.0,1.0,1.0,,0.0,
