start,end,model_name,valid,a,k,alpha,segment,model,case,regime,method,observation,R2,g,q,gamma
56,81,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
57,82,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
58,83,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
59,84,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
60,85,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
61,86,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
62,87,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
63,88,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
64,89,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
65,90,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
66,91,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
67,92,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
68,93,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
69,94,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
70,95,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
71,96,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
72,97,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
73,98,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
74,99,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
75,100,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
76,101,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
77,102,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
78,103,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
79,104,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
80,105,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
81,106,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
82,107,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
83,108,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
84,109,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
85,110,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
86,111,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
87,112,base,False,-0.0,,0.0,middle,base,base_a_0_8,устойчивое насыщение,regression,clean,,,,
