alpha,threshold_in,threshold_out,model,case,regime,start,end,stage,var_omega,cond_scaled,interpretability,degenerate_window,R2_enter,selected_count,hit_rate,false_lag_count,false_lag_rate,miss_rate,no_model,exact_recovery
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,110,135,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,111,136,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,112,137,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,113,138,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,114,139,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,115,140,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,116,141,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,117,142,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,118,143,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,119,144,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,120,145,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,121,146,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,122,147,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,123,148,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,124,149,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,125,150,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,126,151,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,127,152,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,128,153,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,129,154,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,130,155,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,131,156,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,132,157,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,133,158,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,134,159,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,135,160,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,136,161,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,137,162,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,138,163,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,139,164,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,140,165,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,141,166,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,142,167,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,143,168,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,144,169,late,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
